Unique_ID,Email,Date,Time_taken,Time_spent,CURRENT_ROLE,Switched_career?,current_annual_salary,current_Industry,Fav_prog_lang,salary_happy_rating,worklifebal_rating,cowerk_rating,mngmt_rating,growth_rating,learning_rating,difficulty,job_priority,gender,age,home_country,Education,Ethnicity,max_salary,min_salary,avg_salary
62a33b3db4da29969c62df3d,anonymous,2022-06-10,08:38:00,00:00:44,"Data Analyst",Yes,106000-125000,Healthcare,Python,9,9,7,5,5,7,"Very Difficult","Remote Work",Male,26,"United States",,"White or Caucasian",125000,106000,115500
62a33ba1bae91e4b8b82e35c,anonymous,2022-06-10,08:40:00,00:01:30,"Data Analyst",No,41000-65000,Finance,R,1,2,5,2,1,3,"Very Difficult","Remote Work",Male,36,Canada,,"Asian or Asian American",65000,41000,53000
62a33c2cbc6861bf3176bec1,anonymous,2022-06-10,08:42:00,00:02:18,"Data Engineer",No,0-40000,"Clean Energy",Python,0,8,7,5,7,7,Easy,"Good Work/Life Balance",Male,23,Nigeria,,Black,40000,0,20000
62a33c8624a26260273822f9,anonymous,2022-06-10,08:43:00,00:02:10,"Analytics Consultant",Yes,150000-225000,Finance,R,10,6,7,10,7,10,"Very Easy","Remote Work",Female,35,Canada,,"White or Caucasian",225000,150000,187500
62a33c91f3072dd892621e03,anonymous,2022-06-10,08:44:00,00:01:51,"Data Analyst",Yes,41000-65000,Healthcare,R,1,4,4,4,0,1,Difficult,"Better Salary",Male,44,"United States",,Black,65000,41000,53000
62a33cb6cf25554317300177,anonymous,2022-06-10,08:44:00,00:02:34,"Data Analyst",Yes,0-40000,"Coworking space",Python,2,3,3,3,3,2,Difficult,"Good Work/Life Balance",Male,33,"Republic democratic of Congo",,Black,40000,0,20000
62a33cb72e54c9003e531c65,anonymous,2022-06-10,08:44:00,00:01:15,"Data Scientist",Yes,0-40000,Finance,Python,0,6,6,6,6,5,Difficult,"Better Salary",Male,24,"Other (Please Specify)",,Black,40000,0,20000
62a33cd30f8c8599d5af0f8f,anonymous,2022-06-10,08:45:00,00:01:25,"Data Engineer",Yes,125000-150000,Retail,SQL,10,5,5,5,5,9,"Neither easy nor difficult","Remote Work",Male,35,"United States",,"Asian or Asian American",150000,125000,137500
62a33cd3cf255543173001d9,anonymous,2022-06-10,08:45:00,00:02:10,"Data Analyst",Yes,86000-105000,Healthcare,R,4,4,4,4,5,5,"Neither easy nor difficult","Better Salary",Male,35,"United States",,"Asian or Asian American",105000,86000,95500
62a33cd8bc6861bf3176c05f,anonymous,2022-06-10,08:45:00,00:01:27,"Data Analyst",Yes,41000-65000,Telecommunication,Python,2,0,3,3,0,4,"Very Difficult","Better Salary",Male,28,"United States",,"Hispanic or Latino",65000,41000,53000
